customer_id,customer_name,acquisition_channel,recency_days,frequency,monetary_value
645,Customer_645,"Social Media",-525,6,13319.97
169,Customer_169,"Social Media",-537,9,13312.32
755,Customer_755,Referral,-606,6,13263.19
297,Customer_297,"Social Media",-457,9,13241.68
921,Customer_921,"Social Media",-555,7,13238.94
430,Customer_430,Email,-333,7,13169.05
824,Customer_824,"Organic Search",-507,8,13123.23
214,Customer_214,"Paid Ads",-594,4,13090.89
919,Customer_919,"Social Media",-581,6,13050.17
87,Customer_87,Email,-535,9,12998.74
716,Customer_716,Referral,-475,7,12994.59
722,Customer_722,"Social Media",-473,6,12966.35
208,Customer_208,"Organic Search",-442,5,12938.98
190,Customer_190,"Organic Search",-553,7,12933.94
145,Customer_145,"Social Media",-414,4,12912.05
738,Customer_738,"Paid Ads",-564,6,12858.01
488,Customer_488,Email,-526,10,12821.72
196,Customer_196,"Paid Ads",-533,5,12783.82
258,Customer_258,"Paid Ads",-555,4,12776.80
232,Customer_232,"Paid Ads",-527,9,12774.42
844,Customer_844,"Paid Ads",-542,9,12743.10
331,Customer_331,"Paid Ads",-549,7,12732.80
253,Customer_253,"Social Media",-555,6,12716.23
39,Customer_39,"Social Media",-323,5,12706.22
338,Customer_338,Referral,-486,7,12702.60
381,Customer_381,"Paid Ads",-516,6,12681.04
613,Customer_613,"Social Media",-607,7,12644.23
22,Customer_22,Referral,-489,10,12631.48
75,Customer_75,"Organic Search",-605,7,12631.33
104,Customer_104,"Social Media",-592,6,12592.52
367,Customer_367,"Organic Search",-542,5,12573.48
741,Customer_741,"Paid Ads",-597,6,12556.65
177,Customer_177,"Social Media",-558,7,12555.84
64,Customer_64,Referral,-578,6,12544.16
732,Customer_732,"Organic Search",-445,7,12522.78
592,Customer_592,"Social Media",-597,6,12520.52
544,Customer_544,Email,-604,4,12511.56
432,Customer_432,"Social Media",-527,7,12508.69
262,Customer_262,"Social Media",-604,8,12484.00
912,Customer_912,"Organic Search",-506,4,12465.87
779,Customer_779,"Organic Search",-297,6,12464.20
507,Customer_507,"Social Media",-565,6,12464.04
325,Customer_325,"Organic Search",-561,5,12402.00
328,Customer_328,"Organic Search",-607,7,12400.83
501,Customer_501,Referral,-577,7,12341.31
754,Customer_754,Email,-461,6,12333.47
864,Customer_864,Referral,-336,7,12317.27
602,Customer_602,Referral,-563,6,12273.56
62,Customer_62,"Organic Search",-605,6,12255.14
2,Customer_2,Email,-594,5,12247.23
453,Customer_453,"Paid Ads",-598,9,12239.07
296,Customer_296,"Paid Ads",-598,7,12226.89
633,Customer_633,Email,-536,4,12224.76
152,Customer_152,Referral,-369,7,12214.35
967,Customer_967,"Social Media",-561,5,12206.24
321,Customer_321,Email,-587,6,12193.68
68,Customer_68,"Paid Ads",-598,7,12190.35
210,Customer_210,Email,-374,5,12136.70
821,Customer_821,Referral,-554,6,12117.89
950,Customer_950,"Paid Ads",-564,7,12104.30
795,Customer_795,"Paid Ads",-598,6,12101.29
478,Customer_478,Email,-578,7,12060.38
819,Customer_819,"Paid Ads",-449,6,12051.15
814,Customer_814,"Paid Ads",-539,9,12033.97
999,Customer_999,"Organic Search",-574,5,11952.36
798,Customer_798,"Paid Ads",-572,6,11939.68
986,Customer_986,"Paid Ads",-595,5,11937.04
342,Customer_342,Referral,-605,5,11919.50
379,Customer_379,"Paid Ads",-603,7,11896.75
473,Customer_473,Email,-403,4,11893.03
913,Customer_913,Email,-559,6,11873.03
532,Customer_532,"Social Media",-514,9,11838.73
349,Customer_349,"Social Media",-597,6,11837.61
893,Customer_893,"Organic Search",-538,5,11831.51
421,Customer_421,"Social Media",-598,10,11802.41
310,Customer_310,"Organic Search",-586,3,11746.10
178,Customer_178,"Social Media",-334,6,11719.53
879,Customer_879,"Organic Search",-403,6,11658.09
714,Customer_714,"Paid Ads",-309,7,11587.44
513,Customer_513,"Paid Ads",-566,4,11572.21
209,Customer_209,"Social Media",-466,7,11563.92
603,Customer_603,"Organic Search",-594,6,11563.67
401,Customer_401,Email,-557,8,11555.50
826,Customer_826,"Paid Ads",-563,4,11548.49
588,Customer_588,"Social Media",-489,6,11543.66
255,Customer_255,"Organic Search",-568,6,11543.57
180,Customer_180,Email,-492,4,11505.76
789,Customer_789,Referral,-584,4,11496.10
558,Customer_558,Email,-594,4,11492.47
671,Customer_671,Referral,-539,5,11450.03
67,Customer_67,Email,-600,5,11392.82
941,Customer_941,"Organic Search",-595,8,11386.15
631,Customer_631,"Social Media",-487,5,11338.32
337,Customer_337,Referral,-197,4,11326.16
121,Customer_121,Email,-601,6,11301.41
886,Customer_886,"Organic Search",-520,8,11252.35
709,Customer_709,Email,-577,7,11252.03
981,Customer_981,"Social Media",-550,7,11251.91
246,Customer_246,"Organic Search",-599,7,11232.51
800,Customer_800,"Social Media",-303,6,11218.70
136,Customer_136,"Paid Ads",-541,7,11205.28
382,Customer_382,Referral,-595,5,11188.00
200,Customer_200,"Social Media",-588,5,11186.15
916,Customer_916,"Social Media",-493,5,11128.18
147,Customer_147,"Social Media",-400,5,11083.77
669,Customer_669,Referral,-390,5,11074.26
176,Customer_176,"Social Media",-561,7,11039.14
957,Customer_957,Referral,-591,8,11012.47
599,Customer_599,"Paid Ads",-304,9,11001.22
751,Customer_751,"Social Media",-522,5,11000.13
883,Customer_883,Email,-600,6,10962.86
703,Customer_703,Referral,-550,4,10960.48
589,Customer_589,Referral,-525,6,10957.16
44,Customer_44,Referral,-539,4,10952.29
181,Customer_181,"Social Media",-599,8,10943.20
980,Customer_980,"Organic Search",-492,6,10941.92
97,Customer_97,"Paid Ads",-467,5,10926.83
319,Customer_319,"Social Media",-582,10,10877.34
496,Customer_496,"Organic Search",-588,3,10868.07
975,Customer_975,"Social Media",-150,4,10854.60
938,Customer_938,Referral,-527,5,10848.55
963,Customer_963,"Organic Search",-485,7,10844.76
994,Customer_994,"Social Media",-564,4,10781.13
654,Customer_654,Referral,-546,8,10753.92
533,Customer_533,Referral,-517,5,10740.53
835,Customer_835,"Paid Ads",-577,6,10716.78
880,Customer_880,"Paid Ads",-312,4,10703.68
479,Customer_479,"Social Media",-447,7,10668.77
610,Customer_610,"Organic Search",-593,7,10662.23
267,Customer_267,Referral,-475,6,10658.82
91,Customer_91,"Paid Ads",-512,5,10653.67
811,Customer_811,"Organic Search",-469,6,10648.17
565,Customer_565,Referral,-464,5,10643.14
486,Customer_486,"Paid Ads",-567,6,10632.81
352,Customer_352,"Organic Search",-575,4,10621.34
888,Customer_888,"Organic Search",-480,5,10594.64
42,Customer_42,Email,-479,6,10570.76
238,Customer_238,"Paid Ads",-585,6,10522.43
640,Customer_640,"Organic Search",-595,6,10518.61
502,Customer_502,Email,-486,4,10514.83
827,Customer_827,"Paid Ads",-603,6,10506.71
449,Customer_449,"Organic Search",-596,5,10489.69
13,Customer_13,Email,-533,8,10454.77
3,Customer_3,"Organic Search",-396,5,10408.89
482,Customer_482,"Social Media",-467,4,10402.09
288,Customer_288,"Social Media",-514,4,10313.65
281,Customer_281,"Organic Search",-527,6,10313.20
659,Customer_659,Email,-597,8,10311.52
414,Customer_414,"Paid Ads",-443,7,10284.07
959,Customer_959,"Organic Search",-530,4,10245.79
386,Customer_386,Email,-526,6,10229.82
129,Customer_129,Email,-582,7,10200.39
995,Customer_995,Email,-494,4,10185.44
250,Customer_250,Email,-537,6,10123.74
217,Customer_217,"Social Media",-567,5,10109.43
582,Customer_582,Email,-522,4,10099.39
58,Customer_58,Referral,-607,5,10083.44
12,Customer_12,Email,-571,5,10082.90
138,Customer_138,"Social Media",-569,7,10078.62
424,Customer_424,"Organic Search",-531,6,10066.39
642,Customer_642,"Social Media",-402,5,10063.41
86,Customer_86,"Paid Ads",-500,8,10040.86
33,Customer_33,"Organic Search",-587,9,10038.26
837,Customer_837,"Organic Search",-494,5,10032.04
653,Customer_653,Email,-551,5,10014.55
766,Customer_766,"Social Media",-581,4,10009.57
404,Customer_404,Email,-589,5,10005.29
641,Customer_641,Referral,-562,9,10005.27
534,Customer_534,"Social Media",-515,9,10003.34
594,Customer_594,Referral,-606,4,9996.98
110,Customer_110,"Social Media",-551,3,9986.58
547,Customer_547,"Organic Search",-607,7,9974.21
43,Customer_43,"Paid Ads",-586,6,9958.58
953,Customer_953,"Social Media",-527,7,9948.37
784,Customer_784,"Organic Search",-440,3,9942.43
204,Customer_204,Referral,-598,6,9936.48
402,Customer_402,Referral,-577,5,9934.16
183,Customer_183,"Social Media",-562,5,9904.03
817,Customer_817,Referral,-567,5,9882.84
545,Customer_545,Email,-43,3,9881.70
189,Customer_189,"Paid Ads",-584,3,9875.02
393,Customer_393,"Organic Search",-469,4,9863.30
266,Customer_266,"Paid Ads",-604,4,9847.78
942,Customer_942,"Paid Ads",-499,4,9823.73
936,Customer_936,Referral,-463,6,9799.90
279,Customer_279,Referral,-512,5,9792.85
614,Customer_614,"Paid Ads",-579,8,9782.56
693,Customer_693,"Social Media",-469,11,9777.84
510,Customer_510,Referral,-470,3,9773.49
40,Customer_40,Email,-599,8,9764.23
818,Customer_818,"Organic Search",-581,8,9763.80
46,Customer_46,"Social Media",-289,6,9741.72
687,Customer_687,"Social Media",-560,4,9737.46
756,Customer_756,"Social Media",-496,5,9718.50
336,Customer_336,"Social Media",-582,7,9709.69
5,Customer_5,Email,-605,9,9695.68
619,Customer_619,Email,-593,4,9691.79
579,Customer_579,"Social Media",-594,4,9678.83
744,Customer_744,"Organic Search",-489,6,9638.99
60,Customer_60,"Organic Search",-535,7,9638.84
89,Customer_89,Referral,-518,4,9600.92
365,Customer_365,"Social Media",-600,7,9585.42
390,Customer_390,Referral,-445,5,9544.04
549,Customer_549,"Social Media",-529,4,9507.34
399,Customer_399,"Organic Search",-484,7,9505.33
490,Customer_490,Referral,-359,4,9489.44
31,Customer_31,Email,-553,9,9469.23
726,Customer_726,Referral,-372,6,9468.51
306,Customer_306,Referral,-578,5,9461.38
546,Customer_546,Email,-212,5,9428.70
646,Customer_646,"Social Media",-397,4,9424.12
540,Customer_540,Referral,-580,6,9423.30
972,Customer_972,"Organic Search",-595,5,9421.96
516,Customer_516,"Paid Ads",-562,5,9369.92
978,Customer_978,"Social Media",-581,9,9332.97
51,Customer_51,Email,-521,3,9323.13
696,Customer_696,Referral,-534,6,9314.46
239,Customer_239,"Organic Search",-594,7,9312.31
66,Customer_66,"Social Media",-577,10,9299.43
442,Customer_442,Referral,-596,11,9297.04
914,Customer_914,Email,-332,5,9250.83
286,Customer_286,"Paid Ads",-569,5,9246.31
497,Customer_497,"Organic Search",-510,4,9241.13
108,Customer_108,Email,-281,8,9228.59
221,Customer_221,Email,-171,6,9191.37
946,Customer_946,"Social Media",-579,11,9158.97
655,Customer_655,Referral,-579,4,9157.78
940,Customer_940,"Paid Ads",-521,3,9156.58
803,Customer_803,"Social Media",-575,7,9149.14
146,Customer_146,Referral,-602,6,9142.42
997,Customer_997,"Organic Search",-497,6,9138.29
93,Customer_93,"Paid Ads",-584,4,9134.97
59,Customer_59,Email,-527,6,9119.58
292,Customer_292,Email,-331,6,9049.22
739,Customer_739,Email,-603,9,9005.18
842,Customer_842,"Social Media",-549,4,8999.46
198,Customer_198,"Paid Ads",-472,4,8994.64
408,Customer_408,"Organic Search",-518,3,8988.14
881,Customer_881,"Paid Ads",-569,6,8946.02
419,Customer_419,Referral,-605,5,8925.04
193,Customer_193,"Social Media",-437,6,8913.90
745,Customer_745,"Organic Search",-546,6,8912.00
810,Customer_810,"Paid Ads",-539,5,8911.88
620,Customer_620,Email,-589,7,8904.24
358,Customer_358,"Organic Search",-600,5,8889.80
564,Customer_564,"Organic Search",-496,9,8889.65
982,Customer_982,Referral,-566,6,8877.48
753,Customer_753,"Paid Ads",-203,6,8855.40
960,Customer_960,Referral,-524,4,8848.27
34,Customer_34,Referral,-586,5,8848.24
263,Customer_263,"Paid Ads",-528,4,8834.65
597,Customer_597,"Paid Ads",-542,4,8822.89
757,Customer_757,Email,-578,7,8804.29
132,Customer_132,Email,-416,5,8794.65
148,Customer_148,Referral,-496,5,8772.89
918,Customer_918,"Organic Search",-575,4,8759.30
900,Customer_900,"Organic Search",-536,6,8739.97
206,Customer_206,Referral,-533,5,8738.82
27,Customer_27,"Social Media",-589,4,8727.19
974,Customer_974,"Organic Search",-295,5,8709.45
561,Customer_561,Referral,-605,7,8688.40
271,Customer_271,"Paid Ads",-460,4,8685.83
151,Customer_151,"Organic Search",-517,4,8670.56
378,Customer_378,Email,-549,5,8620.99
406,Customer_406,"Organic Search",-497,6,8620.80
227,Customer_227,Referral,-605,7,8595.49
683,Customer_683,Email,-583,7,8564.50
259,Customer_259,Email,-539,6,8560.36
846,Customer_846,"Social Media",-602,7,8533.91
372,Customer_372,"Social Media",-544,3,8519.62
14,Customer_14,"Organic Search",-582,7,8450.53
459,Customer_459,Email,-495,6,8441.55
464,Customer_464,Referral,-582,7,8440.17
750,Customer_750,"Paid Ads",-458,6,8434.14
289,Customer_289,"Organic Search",-542,4,8414.36
112,Customer_112,Referral,-498,4,8413.35
578,Customer_578,Referral,-82,1,8409.99
830,Customer_830,Email,-575,5,8374.66
455,Customer_455,"Social Media",-529,5,8346.06
851,Customer_851,"Organic Search",-309,5,8340.70
216,Customer_216,Referral,-548,6,8330.95
691,Customer_691,Referral,-506,5,8312.97
433,Customer_433,Email,-451,6,8309.92
160,Customer_160,"Organic Search",-599,6,8309.62
973,Customer_973,Referral,-579,3,8283.31
11,Customer_11,Email,-558,4,8267.49
813,Customer_813,"Organic Search",-480,5,8231.05
265,Customer_265,"Social Media",-586,6,8227.63
568,Customer_568,"Paid Ads",-604,7,8206.19
252,Customer_252,Referral,-468,5,8166.33
512,Customer_512,Referral,-441,3,8165.64
251,Customer_251,"Organic Search",-546,4,8129.75
680,Customer_680,Email,-599,9,8128.71
397,Customer_397,Referral,-556,6,8126.57
574,Customer_574,Referral,-597,7,8118.62
924,Customer_924,"Paid Ads",-586,7,8109.41
308,Customer_308,Referral,-536,5,8102.01
799,Customer_799,"Social Media",-589,5,8100.87
536,Customer_536,"Organic Search",-528,5,8097.96
203,Customer_203,"Paid Ads",-410,4,8087.68
832,Customer_832,"Organic Search",-433,6,8079.38
122,Customer_122,Referral,-508,3,8064.81
806,Customer_806,"Organic Search",-518,2,8047.50
48,Customer_48,"Organic Search",-318,4,8046.23
229,Customer_229,Email,-451,4,8016.80
356,Customer_356,"Social Media",-511,8,8016.34
278,Customer_278,"Organic Search",-507,6,8008.36
276,Customer_276,"Organic Search",-570,7,7996.77
373,Customer_373,Referral,-598,5,7988.27
309,Customer_309,"Social Media",-582,7,7978.52
815,Customer_815,"Social Media",-427,6,7949.38
911,Customer_911,"Social Media",-585,4,7935.56
79,Customer_79,Email,-578,7,7927.84
519,Customer_519,Referral,-553,6,7899.65
764,Customer_764,"Paid Ads",-514,6,7898.93
466,Customer_466,"Paid Ads",-451,6,7891.87
234,Customer_234,Referral,-596,5,7860.45
166,Customer_166,Referral,-389,4,7841.51
850,Customer_850,"Social Media",-559,3,7823.37
618,Customer_618,Referral,-607,8,7821.43
480,Customer_480,"Social Media",-572,5,7813.88
435,Customer_435,Email,-465,6,7795.64
422,Customer_422,"Organic Search",-529,7,7778.12
106,Customer_106,Referral,-539,4,7771.26
878,Customer_878,Referral,-582,7,7770.56
170,Customer_170,Email,-539,3,7765.64
235,Customer_235,Email,-577,5,7764.78
396,Customer_396,Referral,-351,3,7762.10
398,Customer_398,"Social Media",-551,7,7755.89
531,Customer_531,"Organic Search",-520,5,7754.68
460,Customer_460,"Paid Ads",-532,3,7746.38
82,Customer_82,Email,-602,4,7738.56
457,Customer_457,"Organic Search",-560,5,7734.40
585,Customer_585,Email,-514,7,7725.66
677,Customer_677,Email,-574,6,7724.29
242,Customer_242,"Organic Search",-524,4,7715.76
735,Customer_735,Referral,-559,7,7687.44
600,Customer_600,"Organic Search",-273,6,7675.07
88,Customer_88,"Paid Ads",-571,5,7664.38
866,Customer_866,"Social Media",-560,5,7661.59
935,Customer_935,Referral,-416,4,7661.14
492,Customer_492,Email,-529,9,7657.82
374,Customer_374,"Social Media",-408,6,7653.08
498,Customer_498,"Paid Ads",-413,5,7646.68
197,Customer_197,Email,-541,3,7644.76
350,Customer_350,"Paid Ads",-518,10,7614.46
682,Customer_682,"Organic Search",-468,5,7612.47
441,Customer_441,"Paid Ads",-507,4,7603.70
375,Customer_375,Referral,-89,4,7593.64
786,Customer_786,Referral,-596,7,7582.39
130,Customer_130,"Social Media",-483,4,7563.70
575,Customer_575,"Paid Ads",-601,5,7562.20
423,Customer_423,Email,-523,4,7552.94
948,Customer_948,"Paid Ads",-504,5,7552.84
485,Customer_485,Email,-372,5,7533.89
906,Customer_906,Referral,-141,6,7522.95
628,Customer_628,"Paid Ads",-448,5,7494.64
212,Customer_212,"Organic Search",-538,3,7475.24
109,Customer_109,"Social Media",-607,9,7468.52
869,Customer_869,Referral,-577,4,7410.19
363,Customer_363,"Organic Search",-381,6,7403.33
131,Customer_131,"Paid Ads",-580,6,7403.00
215,Customer_215,"Social Media",-426,2,7379.12
518,Customer_518,"Organic Search",-473,3,7345.51
621,Customer_621,"Organic Search",-452,6,7336.77
875,Customer_875,Email,-320,6,7330.48
945,Customer_945,"Organic Search",-548,7,7259.18
710,Customer_710,"Social Media",-545,4,7224.60
721,Customer_721,"Paid Ads",-380,3,7189.53
295,Customer_295,"Organic Search",-561,6,7188.06
415,Customer_415,Email,-389,4,7186.74
572,Customer_572,Email,-560,4,7165.78
672,Customer_672,"Organic Search",-585,6,7163.29
36,Customer_36,Email,-582,7,7145.25
123,Customer_123,"Organic Search",-595,7,7121.74
472,Customer_472,"Organic Search",-473,5,7117.49
377,Customer_377,Email,-445,4,7116.16
231,Customer_231,"Organic Search",-592,4,7112.30
283,Customer_283,Email,-577,5,7101.02
627,Customer_627,"Paid Ads",-564,5,7098.31
76,Customer_76,"Paid Ads",-530,6,7086.98
207,Customer_207,Referral,-440,3,7070.81
436,Customer_436,Referral,-577,7,7059.26
586,Customer_586,Email,-581,9,7054.56
366,Customer_366,Email,-407,4,7038.89
695,Customer_695,"Paid Ads",-457,4,7037.23
860,Customer_860,Email,-581,7,7031.31
909,Customer_909,Referral,-554,8,7021.79
939,Customer_939,"Paid Ads",-580,6,7014.69
539,Customer_539,"Paid Ads",-517,6,6991.85
801,Customer_801,"Paid Ads",-446,7,6968.21
541,Customer_541,Email,-237,4,6958.04
219,Customer_219,"Paid Ads",-500,6,6950.81
686,Customer_686,"Social Media",-395,6,6946.59
301,Customer_301,Email,-585,7,6920.56
661,Customer_661,"Social Media",-561,5,6917.20
273,Customer_273,"Organic Search",-596,8,6916.34
996,Customer_996,"Organic Search",-552,7,6911.83
611,Customer_611,Referral,-469,5,6908.93
859,Customer_859,"Organic Search",-427,3,6904.67
10,Customer_10,Email,-415,6,6902.52
899,Customer_899,Referral,-542,8,6898.74
284,Customer_284,Referral,-427,4,6882.75
38,Customer_38,Referral,-428,4,6861.73
949,Customer_949,"Organic Search",-534,4,6850.44
527,Customer_527,"Paid Ads",-539,4,6821.19
727,Customer_727,"Paid Ads",-527,3,6802.46
892,Customer_892,"Organic Search",-428,5,6802.25
839,Customer_839,"Social Media",-417,6,6796.66
493,Customer_493,Email,-583,9,6794.57
562,Customer_562,"Paid Ads",-574,4,6745.89
474,Customer_474,"Social Media",-510,7,6726.49
891,Customer_891,"Social Media",-474,6,6720.57
159,Customer_159,"Social Media",-506,7,6717.80
831,Customer_831,Referral,-522,5,6684.37
746,Customer_746,Referral,-537,5,6680.04
823,Customer_823,"Social Media",-528,5,6674.07
191,Customer_191,Email,-602,4,6667.22
302,Customer_302,"Organic Search",-542,8,6665.20
649,Customer_649,"Social Media",-584,4,6657.03
451,Customer_451,"Paid Ads",-520,8,6648.14
971,Customer_971,"Paid Ads",-584,4,6604.50
347,Customer_347,"Social Media",-578,4,6592.64
976,Customer_976,Referral,-486,4,6588.71
140,Customer_140,"Social Media",-531,6,6581.43
550,Customer_550,"Organic Search",-279,3,6579.85
187,Customer_187,"Social Media",-567,5,6579.34
570,Customer_570,Referral,-453,5,6556.54
185,Customer_185,Email,-482,4,6551.15
670,Customer_670,"Social Media",-528,7,6544.97
944,Customer_944,Referral,-603,5,6534.72
412,Customer_412,"Paid Ads",-579,6,6531.57
658,Customer_658,Email,-600,5,6528.71
469,Customer_469,"Paid Ads",-400,3,6465.65
612,Customer_612,"Paid Ads",-491,3,6445.42
99,Customer_99,Referral,-470,6,6429.84
327,Customer_327,"Social Media",-301,3,6417.26
173,Customer_173,"Organic Search",-483,5,6402.81
965,Customer_965,"Social Media",-604,4,6385.23
346,Customer_346,Email,-583,6,6384.70
344,Customer_344,"Social Media",-542,5,6380.15
877,Customer_877,Email,-580,7,6356.45
467,Customer_467,Referral,-543,3,6351.61
199,Customer_199,Referral,-575,6,6347.66
625,Customer_625,"Social Media",-460,4,6306.32
320,Customer_320,Email,-347,6,6291.70
65,Customer_65,"Social Media",-531,4,6273.35
124,Customer_124,"Paid Ads",-559,3,6265.09
98,Customer_98,"Paid Ads",-533,4,6262.78
704,Customer_704,"Social Media",-600,7,6254.75
143,Customer_143,Referral,-508,7,6240.36
765,Customer_765,"Social Media",-558,6,6227.15
793,Customer_793,Referral,-422,4,6217.47
943,Customer_943,"Paid Ads",-601,4,6213.73
970,Customer_970,"Organic Search",-444,8,6207.92
607,Customer_607,"Social Media",-588,8,6205.59
639,Customer_639,"Social Media",-542,4,6196.67
968,Customer_968,"Organic Search",-606,3,6190.24
318,Customer_318,"Paid Ads",-577,5,6170.08
410,Customer_410,"Paid Ads",-599,4,6156.87
470,Customer_470,"Social Media",-384,5,6133.07
977,Customer_977,"Organic Search",-594,5,6129.94
969,Customer_969,"Social Media",-515,4,6121.62
508,Customer_508,"Social Media",-553,3,6109.19
604,Customer_604,Email,-597,4,6083.99
