product_id,product_name,category,sub_category,brand,cost_price,selling_price
50,Nike Apparel 2,Fashion,Apparel,Nike,29.57,52.38
51,Nike Apparel 3,Fashion,Apparel,Nike,32.75,53.62
52,Nike Apparel 4,Fashion,Apparel,Nike,37.35,58.53
53,Nike Apparel 5,Fashion,Apparel,Nike,36.94,55.82
54,Nike Apparel 6,Fashion,Apparel,Nike,15.32,20.73
55,Nike Apparel 7,Fashion,Apparel,Nike,24.52,32.53
56,Nike Apparel 8,Fashion,Apparel,Nike,16.42,23.54
57,Nike Apparel 9,Fashion,Apparel,Nike,34.64,62.07
58,Nike Apparel 10,Fashion,Apparel,Nike,32.08,44.05
59,Nike Apparel 11,Fashion,Apparel,Nike,16.55,28.01
60,Nike Apparel 12,Fashion,Apparel,Nike,20.1,31.57
61,Adidas Footwear 1,Fashion,Footwear,Adidas,47.93,73.16
62,Adidas Footwear 2,Fashion,Footwear,Adidas,60.81,99.59
63,Adidas Footwear 3,Fashion,Footwear,Adidas,58.09,82.03
64,Adidas Footwear 4,Fashion,Footwear,Adidas,62.36,93.19
65,Adidas Footwear 5,Fashion,Footwear,Adidas,55.55,94.35
66,Adidas Footwear 6,Fashion,Footwear,Adidas,64.81,106.71
67,Adidas Footwear 7,Fashion,Footwear,Adidas,32.35,48.23
68,Adidas Footwear 8,Fashion,Footwear,Adidas,50.83,86.11
69,Adidas Footwear 9,Fashion,Footwear,Adidas,64.26,114.57
70,Adidas Footwear 10,Fashion,Footwear,Adidas,32.69,54.65
71,Adidas Footwear 11,Fashion,Footwear,Adidas,40.15,69.64
72,Adidas Footwear 12,Fashion,Footwear,Adidas,73.02,111.1
73,Fossil Watches 1,Fashion,Watches,Fossil,72.55,117.31
74,Fossil Watches 2,Fashion,Watches,Fossil,120.95,179.47
75,Fossil Watches 3,Fashion,Watches,Fossil,108.84,181.68
76,Fossil Watches 4,Fashion,Watches,Fossil,69.65,115.79
77,Fossil Watches 5,Fashion,Watches,Fossil,69.35,105.72
78,Fossil Watches 6,Fashion,Watches,Fossil,148.35,198.38
79,Fossil Watches 7,Fashion,Watches,Fossil,146.25,243.88
80,Fossil Watches 8,Fashion,Watches,Fossil,61.94,81.78
81,Fossil Watches 9,Fashion,Watches,Fossil,77.91,111.58
82,Fossil Watches 10,Fashion,Watches,Fossil,66.09,113.87
83,Fossil Watches 11,Fashion,Watches,Fossil,50.56,77.52
84,Fossil Watches 12,Fashion,Watches,Fossil,143.75,189.75
85,Philips Kitchen 1,Home,Kitchen,Philips,76.43,122.17
86,Philips Kitchen 2,Home,Kitchen,Philips,68.68,110.76
87,Philips Kitchen 3,Home,Kitchen,Philips,72.16,104.67
88,Philips Kitchen 4,Home,Kitchen,Philips,69.5,109.47
89,Philips Kitchen 5,Home,Kitchen,Philips,33.64,55.64
90,Philips Kitchen 6,Home,Kitchen,Philips,56.27,100.08
91,Philips Kitchen 7,Home,Kitchen,Philips,56.03,94.87
92,Philips Kitchen 8,Home,Kitchen,Philips,37.97,59.67
93,Philips Kitchen 9,Home,Kitchen,Philips,50.17,73.99
94,Philips Kitchen 10,Home,Kitchen,Philips,74.17,121.02
95,Philips Kitchen 11,Home,Kitchen,Philips,46.55,67.35
96,Philips Kitchen 12,Home,Kitchen,Philips,77.52,124.74
97,IKEA Furniture 1,Home,Furniture,IKEA,194.97,308.18
98,IKEA Furniture 2,Home,Furniture,IKEA,250.43,406.86
99,IKEA Furniture 3,Home,Furniture,IKEA,122.94,181.09
100,IKEA Furniture 4,Home,Furniture,IKEA,148.07,240.04
101,IKEA Furniture 5,Home,Furniture,IKEA,283.72,403.43
102,IKEA Furniture 6,Home,Furniture,IKEA,107.98,188.19
103,IKEA Furniture 7,Home,Furniture,IKEA,176.27,299.32
104,IKEA Furniture 8,Home,Furniture,IKEA,122.67,175.21
105,IKEA Furniture 9,Home,Furniture,IKEA,244.8,321.26
106,IKEA Furniture 10,Home,Furniture,IKEA,203.37,342.73
107,IKEA Furniture 11,Home,Furniture,IKEA,202.86,315.32
108,IKEA Furniture 12,Home,Furniture,IKEA,197.36,285.82
109,HomeCentre Decor 1,Home,Decor,HomeCentre,46.06,67.25
110,HomeCentre Decor 2,Home,Decor,HomeCentre,23.29,31.39
111,HomeCentre Decor 3,Home,Decor,HomeCentre,58.87,99.29
112,HomeCentre Decor 4,Home,Decor,HomeCentre,41.33,66.68
113,HomeCentre Decor 5,Home,Decor,HomeCentre,28.43,45.91
114,HomeCentre Decor 6,Home,Decor,HomeCentre,28.53,46.87
115,HomeCentre Decor 7,Home,Decor,HomeCentre,53.43,74.95
116,HomeCentre Decor 8,Home,Decor,HomeCentre,53.15,92.44
117,HomeCentre Decor 9,Home,Decor,HomeCentre,49.66,75.36
118,HomeCentre Decor 10,Home,Decor,HomeCentre,52.67,70.37
119,HomeCentre Decor 11,Home,Decor,HomeCentre,47.44,62.24
120,HomeCentre Decor 12,Home,Decor,HomeCentre,48.67,64.19
